/*
/* KAMKE SET
/*

/*ode[[473]]=(y[x]-2*x)*D[y[x],x]^2-2*(-1+x)*D[y[x],x]+y[x]-2
/*ode[[474]]=2*y[x]*D[y[x],x]^2-(4*x-5)*D[y[x],x]+2*y[x]
/*ode[[475]]=4*y[x]*D[y[x],x]^2+2*x*D[y[x],x]-y[x]
/*ode[[476]]=9*y[x]*D[y[x],x]^2+4*x^3*D[y[x],x]-4*x^2*y[x]
/*ode[[477]]=a*y[x]*D[y[x],x]^2+(2*x-b)*D[y[x],x]-y[x]
/*ode[[478]]=(a*y[x]+b)*(D[y[x],x]^2+1)-c
/*ode[[479]]=(b2*y[x]+a2*x+c2)*D[y[x],x]^2+(a1*x+b1*y[x]+c1)*D[y[x],x]+a0*x+b0*y[x]+c0
/*ode[[480]]=(a*y[x]-x^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]^2-y[x]^2
/*ode[[481]]=x*y[x]*D[y[x],x]^2+(y[x]^2+x^2)*D[y[x],x]+x*y[x]
/*ode[[482]]=x*y[x]*D[y[x],x]^2+(x^22-y[x]^2+a)*D[y[x],x]-x*y[x]
/*ode[[483]]=(2*x*y[x]-x^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]+2*x*y[x]-y[x]^2
/*ode[[484]]=(2*x*y[x]-x^2)*D[y[x],x]^2-6*x*y[x]*D[y[x],x]-y[x]^2+2*x*y[x]
/*ode[[485]]=a*x*y[x]*D[y[x],x]^2-(a*y[x]^2+b*x^2+c)*D[y[x],x]+b*x*y[x]
/*ode[[486]]=y[x]^2*D[y[x],x]^2+y[x]^2-a^2
/*ode[[487]]=y[x]^2*D[y[x],x]^2-6*x^3*D[y[x],x]+4*x^2*y[x]
/*ode[[488]]=y[x]^2*D[y[x],x]^2-4*a*y[x]*D[y[x],x]+y[x]^2-4*a*x+4*a^2
/*ode[[489]]=y[x]^2*D[y[x],x]^2+2*x*y[x]*D[y[x],x]+a*y[x]^2+b*x+c
/*ode[[490]]=y[x]^2*D[y[x],x]^2-2*x*y[x]*D[y[x],x]+2*y[x]^2-x^2+a
/*ode[[491]]=y[x]^2*D[y[x],x]^2+2*a*x*y[x]*D[y[x],x]+(1-a)*y[x]^2+a*x^2+(a-1)*b
/*ode[[492]]=(y[x]^2-a^2)*D[y[x],x]^2+y[x]^2
/*ode[[493]]=(y[x]^2-2*a*x+a^2)*D[y[x],x]^2+2*a*y[x]*D[y[x],x]+y[x]^2
/*ode[[494]]=(y[x]^2-a^2*x^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]+(1-a^2)*x^2
/*ode[[495]]=(y[x]^2+(1-a)*x^2)*D[y[x],x]^2+2*a*x*y[x]*D[y[x],x]+(1-a)*y[x]^2+x^2
/*ode[[496]]=(y[x]-x)^2*(D[y[x],x]^2+1)-a^2*(D[y[x],x]+1)^2
/*ode[[497]]=3*y[x]^2*D[y[x],x]^2-2*x*y[x]*D[y[x],x]+4*y[x]^2-x^2
/*ode[[498]]=(3*y[x]-2)*D[y[x],x]^2+4*y[x]-4
/*ode[[499]]=(1-a^2)*y[x]^2*D[y[x],x]^2-2*a^2*x*y[x]*D[y[x],x]+y[x]^2-a^2*x^2
/*ode[[500]]=(a-b)*y[x]^2*D[y[x],x]^2-2*b*x*y[x]*D[y[x],x]+a*y[x]^2-b*x^2-a*b
/*ode[[501]]=(a*y[x]^2+b*x+c)*D[y[x],x]^2-b*y[x]*D[y[x],x]+d*y[x]^2
/*ode[[502]]=(a*y[x]-b*x)^2*(a^2*D[y[x],x]^2+b^2)-c^2*(a*D[y[x],x]+b)^2
/*ode[[503]]=(b2*y[x]+a2*x+c2)^2*D[y[x],x]^2+(a1*x+b1*y[x]+c1)*D[y[x],x]+b0*y[x]+a0+c0
/*ode[[504]]=x*y[x]^2*D[y[x],x]^2-(y[x]^3+x^3-a)*D[y[x],x]+x^2*y[x]
/*ode[[505]]=x*y[x]^2*D[y[x],x]^2-2*y[x]^3*D[y[x],x]+2*x*y[x]^2-x^3
/*ode[[506]]=x^2*(x*y[x]^2-1)*D[y[x],x]^2+2*x^2*y[x]^2*(y[x]-x)*D[y[x],x]-y[x]^2*(x^2*y[x]-1)
/*ode[[507]]=(y[x]^4-a^2*x^2)*D[y[x],x]^2+2*a^2*x*y[x]*D[y[x],x]+y[x]^2*(y[x]^2-a^2)
/*ode[[508]]=(y[x]^4+x^2*y[x]^2-x^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]-y[x]^2
/*ode[[509]]=9*y[x]^4*(x^2-1)*D[y[x],x]^2-6*x*y[x]^5*D[y[x],x]-4*x^2
/*ode[[510]]=x^2*(x^2*y[x]^4-1)*D[y[x],x]^2+2*x^3*y[x]^3*(y[x]^2-x^2)*D[y[x],x]-y[x]^2*(x^4*y[x]^2-1)
/*ode[[511]]=(a^2*(y[x]^2+x^2)^(1/2)-x^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]+a^2*(y[x]^2+x^2)^(1/2)-y[x]^2
/*ode[[512]]=(a*(y[x]^2+x^2)^(3/2)-x^2)*D[y[x],x]^2+2*x*y[x]*D[y[x],x]+a*(y[x]^2+x^2)^(3/2)-y[x]^2
/*ode[[513]]=D[y[x],x]^2*Sin[y[x]]+2*x*D[y[x],x]*Cos[y[x]]^3-Sin[y[x]]*Cos[y[x]]^4
/*ode[[514]]=D[y[x],x]^2*(a*Cos[y[x]]+b)-c*Cos[y[x]]+d
/*ode[[515]]=f[y[x]^2+x^2]*(D[y[x],x]^2+1)-(x*D[y[x],x]-y[x])^2
/*ode[[516]]=(y[x]^2+x^2)*f[x/(y[x]^2+x^2)^(1/2)]*(D[y[x],x]^2+1)-(x*D[y[x],x]-y[x])^2
/*ode[[517]]=(y[x]^2+x^2)*f[y[x]/(y[x]^2+x^2)^(1/2)]*(D[y[x],x]^2+1)-(x*D[y[x],x]-y[x])^2
/*ode[[518]]=D[y[x],x]^3-(y[x]-a)^2*(y[x]-b)^2
/*ode[[519]]=D[y[x],x]^3-f[x]*(a*y[x]^2+b*y[x]+c)^2
/*ode[[520]]=D[y[x],x]^3+D[y[x],x]-y[x]
/*ode[[521]]=D[y[x],x]^3+x*D[y[x],x]-y[x]
/*ode[[522]]=D[y[x],x]^3-(x+5)*D[y[x],x]+y[x]
/*ode[[523]]=D[y[x],x]^3-a*x*D[y[x],x]+x^3
/*ode[[524]]=D[y[x],x]^3-2*y[x]*D[y[x],x]+y[x]^2
/*ode[[525]]=D[y[x],x]^2-a*x*y[x]*D[y[x],x]+2*a*y[x]^2
/*ode[[526]]=D[y[x],x]^3-(y[x]^2+x*y[x]+x^2)*D[y[x],x]^2+(x*y[x]^3+x^2*y[x]^2+x^3*y[x])*D[y[x],x]-x^3*y[x]^3
/*ode[[527]]=D[y[x],x]^3-x*y[x]^4*D[y[x],x]-y[x]^5
/*ode[[528]]=D[y[x],x]^3+a*D[y[x],x]^2+b*y[x]+a*b*x
/*ode[[529]]=D[y[x],x]^3+x*D[y[x],x]^2-y[x]
/*ode[[530]]=D[y[x],x]^3-y[x]*D[y[x],x]^2+y[x]^2
/*ode[[531]]=D[y[x],x]^2-(y[x]^4+x*y[x]^2+x^2)*D[y[x],x]^2+(x*y[x]^6+x^2*y[x]^4+x^3*y[x]^2)*D[y[x],x]-x^3*y[x]^6
/*ode[[532]]=a*D[y[x],x]^3+b*D[y[x],x]^2+c*D[y[x],x]-y[x]-d
/*ode[[533]]=x*D[y[x],x]^3-y[x]*D[y[x],x]^2+a
/*ode[[534]]=4*x*D[y[x],x]^3-6*y[x]*D[y[x],x]^2+3*y[x]-x
/*ode[[535]]=8*x*D[y[x],x]^3-12*y[x]*D[y[x],x]^2+9*y[x]
/*ode[[536]]=(x^2-a^2)*D[y[x],x]^3+b*x*(x^2-a^2)*D[y[x],x]^2+D[y[x],x]+b*x
/*ode[[537]]=x^3*D[y[x],x]^3-3*x^2*y[x]*D[y[x],x]^2+(3*x*y[x]^2+x^6)*D[y[x],x]-y[x]^3-2*x^5*y[x]
/*ode[[538]]=2*(x*D[y[x],x]+y[x])^3-y[x]*D[y[x],x]
/*ode[[539]]=D[y[x],x]^3*Sin[x]-(y[x]*Sin[x]-Cos[x]^2)*D[y[x],x]^2-(y[x]*Cos[x]^2+Sin[x])*D[y[x],x]+y[x]*Sin[x]
/*ode[[540]]=2*y[x]*D[y[x],x]^3-y[x]*D[y[x],x]^2+2*x*D[y[x],x]-x
/*ode[[541]]=y[x]^2*D[y[x],x]^3+2*x*D[y[x],x]-y[x]
/*ode[[542]]=16*y[x]^2*D[y[x],x]^3+2*x*D[y[x],x]-y[x]
/*ode[[543]]=x*y[x]^2*D[y[x],x]^3-y[x]^3*D[y[x],x]^2+x*(x^2+1)*D[y[x],x]-x^2*y[x]
/*ode[[544]]=x^7*y[x]^2*D[y[x],x]^3-(3*x^6*y[x]^3-1)*D[y[x],x]^2+3*x^5*y[x]^4*D[y[x],x]-x^4*y[x]^5
/*ode[[545]]=D[y[x],x]^4-(y[x]-a)^3*(y[x]-b)^2
/*ode[[546]]=D[y[x],x]^4+3*(-1+x)*D[y[x],x]^2-3*(2*y[x]-1)*D[y[x],x]+3*x
/*ode[[547]]=D[y[x],x]^4-4*y[x]*(x*D[y[x],x]-2*y[x])^2
/*ode[[548]]=D[y[x],x]^6-(y[x]-a)^4*(y[x]-b)^3
/*ode[[549]]=x^2*(D[y[x],x]^2+1)^3-a^2
/*ode[[550]]=D[y[x],x]^r-a*y[x]^s-b*x^(r*s/(r-s))
/*ode[[551]]=D[y[x],x]^n-f[x]^n*(y[x]-a)^(n+1)*(y[x]-b)^(n-1)
/*ode[[552]]=D[y[x],x]^n-f[x]*g[y[x]]
/*ode[[553]]=a*D[y[x],x]^m+b*D[y[x],x]^n-y[x]
/*ode[[554]]=x^(n-1)*D[y[x],x]^n-n*x*D[y[x],x]+y[x]
/*ode[[555]]=(D[y[x],x]^2+1)^(1/2)+x*D[y[x],x]-y[x]
/*ode[[556]]=(D[y[x],x]^2+1)^(1/2)+x*D[y[x],x]^2+y[x]
/*ode[[557]]=x*((D[y[x],x]^2+1)^(1/2)+D[y[x],x])-y[x]
/*ode[[558]]=a*x*(D[y[x],x]^2+1)^(1/2)+x*D[y[x],x]-y[x]
/*ode[[559]]=y[x]*(D[y[x],x]^2+1)^(1/2)-a*y[x]*D[y[x],x]-a*x
/*ode[[560]]=a*y[x]*(D[y[x],x]^2+1)^(1/2)-2*x*y[x]*D[y[x],x]+y[x]^2-x^2
/*ode[[561]]=f[y[x]^2+x^2]*(D[y[x],x]^2+1)^(1/2)-x*D[y[x],x]+y[x]
/*ode[[562]]=a*(D[y[x],x]^3+1)^(1/3)+b*x*D[y[x],x]-y[x]
/*ode[[563]]=Log[D[y[x],x]]+x*D[y[x],x]+a*y[x]+b
/*ode[[564]]=Log[D[y[x],x]]+a*(x*D[y[x],x]-y[x])
/*ode[[565]]=y[x]*Log[D[y[x],x]]+D[y[x],x]-y[x]*Log[y[x]]-x*y[x]
/*ode[[566]]=Sin[D[y[x],x]]+D[y[x],x]-x
/*ode[[567]]=a*Cos[D[y[x],x]]+b*D[y[x],x]+x
/*ode[[568]]=D[y[x],x]^2*Sin[D[y[x],x]]-y[x]
/*ode[[569]]=(D[y[x],x]^2+1)*Sin[x*D[y[x],x]-y[x]]^2-1
/*ode[[570]]=(D[y[x],x]^2+1)*(ArcTan[D[y[x],x]]+a*x)+D[y[x],x]
/*ode[[571]]=a*x^n*f[D[y[x],x]]+x*D[y[x],x]-y[x]
/*ode[[572]]=(x*D[y[x],x]-y[x])^n*f[D[y[x],x]]+y[x]*g[D[y[x],x]]+x*h[D[y[x],x]]
/*ode[[573]]=f[x*D[y[x],x]^2]+2*x*D[y[x],x]-y[x]
/*ode[[574]]=f[x-3/2*D[y[x],x]^2]+D[y[x],x]^3-y[x]
/*ode[[575]]=D[y[x],x]*f[x*y[x]*D[y[x],x]-y[x]^2]-x^2*D[y[x],x]+x*y[x]
/*ode[[576]]=phi[f[x,y[x],D[y[x],x]],g[x,y[x],D[y[x],x]]]
